name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Andy Pages|LAD|97|5|13|21|4|24|7|30|88|1|1|4|0|0.341|0.392|0.557
Yandy Díaz|TBR|108|3|13|18|1|14|10|32|94|0|4|3|1|0.34|0.426|0.489
Vladimir Guerrero Jr.|TOR|103|2|13|12|1|13|13|30|89|0|1|5|0|0.337|0.427|0.461
Luis Campusano|SDP|39|2|7|7|0|9|3|12|36|0|0|6|0|0.333|0.385|0.667
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0|1|0|0.333|0.429|0.5
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0|1|0|0.333|0.286|0.5
Carson Kelly|CHC|75|2|11|10|0|12|11|21|63|0|1|4|0|0.333|0.44|0.492
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Xavier Edwards|MIA|108|1|18|7|2|13|13|31|94|0|0|5|2|0.33|0.411|0.457
Carlos Cortes|ATH|58|2|6|7|0|4|6|17|52|0|0|4|0|0.327|0.397|0.519
Leody Taveras|BAL|62|2|9|14|1|13|9|17|52|0|0|3|0|0.327|0.426|0.5
Ryan O'Hearn|PIT|92|4|11|16|1|15|12|25|77|2|1|3|0|0.325|0.413|0.519
Chandler Simpson|TBR|104|0|12|5|7|7|4|31|96|1|0|0|2|0.323|0.347|0.365
Myles Straw|TOR|35|1|11|3|0|3|3|10|31|0|0|1|0|0.323|0.382|0.452
Liam Hicks|MIA|87|4|14|21|1|5|5|25|78|2|2|3|0|0.321|0.368|0.513
Ernie Clement|TOR|101|0|8|6|1|7|1|32|100|0|0|10|0|0.32|0.327|0.42
Kevin McGonigle|DET|108|1|19|11|1|14|14|30|94|0|0|10|2|0.319|0.407|0.5
Seiya Suzuki|CHC|58|3|10|7|0|13|9|15|47|0|2|1|0|0.319|0.448|0.532
Drake Baldwin|ATL|120|7|27|23|1|23|11|34|107|0|2|4|0|0.318|0.392|0.551
Michael Harris II|ATL|90|6|11|16|2|15|5|27|85|0|0|3|0|0.318|0.356|0.565
Adley Rutschman|BAL|43|1|4|5|0|7|5|12|38|0|0|6|0|0.316|0.395|0.553
Otto Lopez|MIA|101|3|19|11|4|18|6|29|92|1|2|5|2|0.315|0.366|0.511
Colt Keith|DET|77|0|12|6|0|15|4|23|73|0|0|7|0|0.315|0.351|0.411
Ben Rice|NYY|90|8|21|18|1|26|18|22|70|1|1|6|0|0.314|0.456|0.743
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
Jose Fernandez|ARI|69|2|13|9|1|16|2|21|67|0|0|2|0|0.313|0.333|0.433
Mickey Moniak|COL|71|8|14|15|1|16|3|21|67|1|0|5|0|0.313|0.338|0.746
MJ Melendez|NYM|18|1|2|2|0|8|2|5|16|0|0|2|0|0.313|0.389|0.625
Austin Martin|MIN|63|1|11|5|2|10|15|14|45|1|2|3|0|0.311|0.492|0.444
Daniel Schneemann|CLE|66|2|10|11|1|19|8|18|58|0|0|6|0|0.31|0.394|0.517
Miguel Andujar|SDP|58|0|5|4|1|11|2|17|55|0|1|5|1|0.309|0.345|0.436
Luis Arraez|SFG|100|0|11|6|3|4|6|28|91|2|0|1|2|0.308|0.343|0.363
Nick Loftin|KCR|16|0|3|3|0|1|3|4|13|0|0|2|0|0.308|0.438|0.462
Troy Johnston|COL|83|2|8|11|1|17|6|23|75|0|1|6|0|0.307|0.366|0.467
Shea Langeliers|ATH|108|8|18|14|0|29|10|30|98|0|0|4|0|0.306|0.37|0.592
Matt Shaw|CHC|65|2|7|9|2|12|4|18|59|1|0|5|0|0.305|0.344|0.492
Michael Conforto|CHC|31|0|3|5|0|10|7|7|23|1|0|3|0|0.304|0.452|0.435
Jorge Mateo|ATL|25|1|8|3|1|9|2|7|23|0|0|1|0|0.304|0.36|0.478
Nico Hoerner|CHC|118|4|16|22|7|12|11|31|102|2|3|7|0|0.304|0.381|0.49
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|5|3|0|0.304|0.437|0.518
Hyeseong Kim|LAD|40|1|5|5|3|10|6|10|33|1|0|2|0|0.303|0.4|0.455
Josh Jung|TEX|84|3|9|11|0|15|7|23|76|1|0|8|0|0.303|0.357|0.526
William Contreras|MIL|97|2|12|14|0|12|11|26|86|0|0|7|0|0.302|0.381|0.453
Corbin Carroll|ARI|95|3|17|17|4|25|14|24|80|1|0|6|4|0.3|0.4|0.588
Freddie Freeman|LAD|100|3|9|14|0|10|9|27|90|0|1|7|1|0.3|0.37|0.5
Brandon Marsh|PHI|85|4|10|14|2|18|4|24|80|1|0|4|0|0.3|0.329|0.5
Kyle Stowers|MIA|13|0|2|0|0|2|2|3|10|0|1|1|0|0.3|0.462|0.4
Jorbit Vivas|WSH|63|0|10|3|0|7|6|15|50|1|4|3|0|0.3|0.41|0.36
Weston Wilson|BAL|13|0|4|2|1|5|2|3|10|0|1|1|0|0.3|0.462|0.4
Max Muncy|LAD|96|8|20|9|0|27|12|25|84|0|0|2|0|0.298|0.385|0.607
Ozzie Albies|ATL|111|5|18|15|0|15|7|30|101|2|1|3|0|0.297|0.342|0.475
Sal Stewart|CIN|108|8|17|24|6|19|15|27|91|2|0|5|0|0.297|0.389|0.615
Connor Wong|BOS|30|0|1|2|1|6|1|8|27|0|1|4|0|0.296|0.345|0.444
Daylen Lile|WSH|114|3|15|13|1|16|9|31|105|0|0|7|0|0.295|0.351|0.448
Jeremiah Jackson|BAL|82|5|9|19|1|19|2|23|78|1|1|2|0|0.295|0.317|0.513
Jake Mangum|PIT|57|0|11|2|3|9|5|15|51|0|0|2|0|0.294|0.357|0.333
Oswald Peraza|LAA|76|4|9|8|3|17|6|20|68|0|1|4|0|0.294|0.36|0.529
Brandon Nimmo|TEX|110|4|14|11|1|23|9|29|99|0|2|6|1|0.293|0.364|0.495
CJ Abrams|WSH|109|7|15|20|5|18|13|26|89|1|6|3|0|0.292|0.413|0.562
Jordan Walker|STL|98|8|19|16|4|31|9|26|89|0|0|4|0|0.292|0.357|0.607
Alex Call|LAD|31|0|6|2|0|3|6|7|24|0|1|2|0|0.292|0.452|0.375
Luke Raley|SEA|79|5|11|13|0|29|5|21|72|0|2|4|1|0.292|0.354|0.583
Randy Arozarena|SEA|109|2|18|10|6|20|12|27|93|1|3|6|0|0.29|0.385|0.419
Nick Fortes|TBR|67|1|4|7|0|9|2|18|62|0|3|4|0|0.29|0.343|0.403
Masataka Yoshida|BOS|48|0|5|5|1|6|9|11|38|0|1|3|0|0.289|0.438|0.368
Riley Greene|DET|106|2|17|16|1|25|16|26|90|0|0|8|0|0.289|0.396|0.444
Matt Chapman|SFG|104|1|13|12|0|20|7|28|97|0|0|4|1|0.289|0.337|0.381
Oneil Cruz|PIT|108|7|18|22|10|36|9|28|98|0|1|5|0|0.286|0.352|0.551
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0|1|0|0.286|0.286|0.429
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0|1|0|0.286|0.333|0.357
Ryan Vilade|TBR|31|0|4|3|1|6|3|8|28|0|0|2|0|0.286|0.355|0.357
Bobby Witt Jr.|KCR|110|0|4|10|9|21|13|27|95|2|0|7|0|0.284|0.364|0.358
Xander Bogaerts|SDP|99|4|8|15|2|10|11|25|88|0|0|2|0|0.284|0.364|0.443
Carlos Correa|HOU|101|1|17|13|1|17|12|25|88|1|0|6|0|0.284|0.366|0.386
Taylor Ward|BAL|119|1|12|11|1|19|18|28|99|1|1|13|0|0.283|0.395|0.444
Tyler Freeman|COL|46|0|1|7|2|6|2|11|39|0|3|0|0|0.282|0.364|0.282
Casey Schmitt|SFG|77|2|7|8|1|18|2|20|71|1|3|7|0|0.282|0.325|0.465
Matt Olson|ATL|117|7|22|22|0|30|13|29|103|1|0|11|0|0.282|0.359|0.592
Wilyer Abreu|BOS|96|3|11|11|0|19|7|25|89|0|0|4|1|0.281|0.333|0.449
Mauricio Dubón|ATL|95|2|12|14|0|18|5|25|89|0|1|7|0|0.281|0.326|0.427
Brice Turang|MIL|103|4|20|18|7|22|19|23|82|1|0|5|1|0.28|0.412|0.512
Jonny DeLuca|TBR|53|2|11|13|2|9|3|14|50|0|0|4|0|0.28|0.321|0.48
Ezequiel Duran|TEX|54|1|7|8|3|12|4|14|50|0|0|4|0|0.28|0.333|0.42
Jeff McNeil|ATH|87|1|7|6|1|12|8|21|75|1|2|5|0|0.28|0.36|0.387
Javier Báez|DET|72|1|9|5|1|13|2|19|68|1|1|5|0|0.279|0.306|0.397
Jacob Wilson|ATH|105|2|10|13|1|13|1|29|104|0|0|5|0|0.279|0.286|0.385
Alec Burleson|STL|103|3|10|17|1|13|12|25|90|1|0|6|0|0.278|0.359|0.444
Edmundo Sosa|PHI|38|1|4|7|1|7|2|10|36|0|0|3|0|0.278|0.316|0.444
Edouard Julien|COL|74|1|9|10|2|20|9|18|65|0|0|2|1|0.277|0.365|0.385
Everson Pereira|CHW|54|3|7|6|0|15|4|13|47|1|2|4|0|0.277|0.352|0.553
Joey Loperfido|HOU|66|0|7|7|1|19|6|16|58|1|1|5|0|0.276|0.348|0.362
Carter Jensen|KCR|79|6|11|14|0|22|8|19|69|1|1|2|0|0.275|0.354|0.565
Adrian Del Castillo|ARI|41|1|4|10|0|9|1|11|40|0|0|3|0|0.275|0.293|0.425
Gabriel Moreno|ARI|45|0|6|5|0|8|3|11|40|1|1|5|0|0.275|0.333|0.4
Kyle Isbel|KCR|71|3|9|8|4|17|4|17|62|0|1|3|0|0.274|0.328|0.468
Brandon Lockridge|MIL|70|0|5|6|4|19|7|17|62|0|0|3|0|0.274|0.348|0.323
Griffin Conine|MIA|25|2|6|4|2|6|2|6|22|0|1|1|0|0.273|0.36|0.591
Leo Jiménez|MIA|14|0|1|0|0|0|2|3|11|0|1|0|0|0.273|0.429|0.273
Angel Martínez|CLE|76|3|10|10|4|14|3|19|70|0|2|4|0|0.271|0.32|0.457
Ceddanne Rafaela|BOS|79|1|10|7|0|18|5|19|70|0|4|3|0|0.271|0.354|0.357
Spencer Horwitz|PIT|72|2|9|5|0|13|11|16|59|1|1|2|0|0.271|0.389|0.407
Nick Gonzales|PIT|78|0|9|11|2|15|4|20|74|0|0|3|0|0.27|0.308|0.311
Jo Adell|LAA|112|3|12|15|1|22|3|28|104|1|4|2|0|0.269|0.313|0.375
Brayan Rocchio|CLE|91|3|10|15|1|10|10|21|78|0|2|3|0|0.269|0.367|0.423
Trevor Larnach|MIN|54|1|8|7|0|9|13|11|41|0|0|3|0|0.268|0.444|0.415
Jesús Sánchez|TOR|80|2|8|11|0|14|5|19|71|2|2|3|0|0.268|0.325|0.394
Andrés Giménez|TOR|92|3|8|12|4|14|4|23|86|1|0|4|1|0.267|0.297|0.442
Heliot Ramos|SFG|91|2|9|13|0|28|5|23|86|0|0|4|0|0.267|0.308|0.384
Austin Hedges|CLE|33|0|6|2|0|8|2|8|30|1|0|2|0|0.267|0.303|0.333
TJ Rumfield|COL|99|3|8|15|0|16|8|24|90|1|0|4|1|0.267|0.323|0.433
Will Smith|LAD|85|2|10|11|0|14|9|20|75|1|0|1|0|0.267|0.341|0.36
José Tena|WSH|48|0|7|6|0|15|2|12|45|0|1|1|0|0.267|0.313|0.289
Maikel Garcia|KCR|110|2|14|10|2|20|11|26|98|1|0|6|0|0.265|0.336|0.388
Amed Rosario|NYY|55|4|6|13|0|8|4|13|49|2|0|1|1|0.265|0.309|0.571
Cody Bellinger|NYY|100|3|16|11|3|13|15|22|83|2|0|3|1|0.265|0.37|0.434
Giancarlo Stanton|NYY|89|3|8|13|1|25|6|22|83|0|0|6|0|0.265|0.315|0.446
Elly De La Cruz|CIN|112|8|21|18|6|33|10|27|102|0|0|5|0|0.265|0.33|0.549
Hunter Goodman|COL|97|6|17|9|1|36|7|23|87|0|3|6|0|0.264|0.34|0.54
Chase Meidroth|CHW|101|1|15|2|1|20|11|23|87|0|0|5|0|0.264|0.347|0.356
Bryan Reynolds|PIT|106|3|16|16|1|27|17|23|87|1|1|2|1|0.264|0.387|0.414
Tristan Peters|CHW|57|0|3|1|2|17|4|14|53|0|0|1|1|0.264|0.316|0.321
Christian Walker|HOU|106|5|16|18|0|17|13|24|91|1|1|7|0|0.264|0.358|0.505
Dillon Dingler|DET|87|5|11|19|0|15|5|20|76|0|4|4|0|0.263|0.341|0.513
Adam Frazier|LAA|47|1|10|4|0|14|6|10|38|0|1|1|1|0.263|0.378|0.421
Ryan Jeffers|MIN|70|2|11|12|0|13|11|15|57|0|1|2|1|0.263|0.391|0.439
Richie Palacios|TBR|48|1|7|4|3|7|7|10|38|0|3|1|0|0.263|0.417|0.368
Daulton Varsho|TOR|84|3|8|7|1|14|7|20|76|0|1|4|0|0.263|0.333|0.434
Willson Contreras|BOS|97|4|10|12|0|26|12|21|80|0|5|2|0|0.263|0.392|0.438
Brandon Lowe|PIT|93|7|13|19|0|21|12|21|80|0|1|4|0|0.263|0.366|0.575
Justin Crawford|PHI|78|0|7|3|1|15|7|18|69|0|2|5|1|0.261|0.346|0.362
Bryce Harper|PHI|105|5|12|13|1|16|13|24|92|0|0|5|1|0.261|0.352|0.5
Junior Caminero|TBR|110|6|15|12|0|18|13|25|96|1|0|3|0|0.26|0.345|0.479
Alex Bregman|CHC|118|2|7|9|1|17|13|27|104|1|0|3|1|0.26|0.339|0.365
Dominic Canzone|SEA|60|3|9|10|1|12|4|14|54|1|1|6|0|0.259|0.317|0.537
J.T. Realmuto|PHI|61|1|5|4|0|11|5|14|54|0|2|2|0|0.259|0.344|0.352
Munetaka Murakami|CHW|107|10|19|19|0|34|21|22|85|1|0|0|0|0.259|0.402|0.612
Ramón Laureano|SDP|98|4|13|16|3|27|7|23|89|1|1|4|2|0.258|0.316|0.483
Dane Myers|CIN|38|1|7|3|1|6|6|8|31|0|1|0|0|0.258|0.395|0.355
Masyn Winn|STL|82|1|11|9|3|17|9|18|70|1|2|5|1|0.257|0.354|0.4
Nolan Arenado|ARI|86|4|11|14|0|18|3|21|82|1|0|2|0|0.256|0.279|0.427
Jung Hoo Lee|SFG|95|1|9|9|0|14|7|22|86|2|0|6|0|0.256|0.305|0.36
Max Muncy|ATH|97|2|15|7|2|33|5|22|86|2|4|5|2|0.256|0.32|0.43
Jeremy Peña|HOU|46|0|5|0|1|6|3|11|43|0|0|4|0|0.256|0.304|0.349
Jose Altuve|HOU|113|3|17|8|1|21|15|25|98|0|0|6|0|0.255|0.354|0.408
James Wood|WSH|127|10|26|21|4|39|23|26|102|0|2|6|0|0.255|0.402|0.608
Garrett Mitchell|MIL|77|1|10|18|5|30|17|15|59|0|0|4|1|0.254|0.421|0.407
Francisco Alvarez|NYM|76|4|8|6|0|13|9|16|63|0|2|2|0|0.254|0.365|0.476
Jac Caglianone|KCR|83|1|7|2|0|25|6|19|75|0|2|4|1|0.253|0.325|0.373
Josh Bell|MIN|96|3|17|15|0|18|11|21|83|1|1|5|0|0.253|0.344|0.422
Fernando Tatis Jr.|SDP|107|0|9|12|6|27|11|23|91|3|1|4|0|0.253|0.33|0.297
Nick Allen|HOU|22|0|5|0|0|5|2|5|20|0|0|1|0|0.25|0.318|0.3
Jake Burger|TEX|101|5|10|19|0|31|3|24|96|1|1|4|0|0.25|0.277|0.448
Victor Caratini|MIN|80|1|5|11|0|9|8|16|64|4|4|1|0|0.25|0.35|0.313
Tristan Gray|MIN|41|2|4|11|0|15|2|9|36|1|1|1|0|0.25|0.3|0.444
Vaughn Grissom|LAA|28|0|3|3|0|2|6|5|20|1|0|0|0|0.25|0.407|0.25
Ian Happ|CHC|108|7|17|14|1|31|15|23|92|0|1|4|0|0.25|0.361|0.522
Derek Hill|CHW|33|1|4|1|3|10|5|7|28|0|0|0|0|0.25|0.364|0.357
Bryce Johnson|SDP|18|0|2|2|3|7|1|4|16|0|0|2|0|0.25|0.294|0.375
Scott Kingery|CHC|4|0|2|0|1|0|0|1|4|0|0|0|0|0.25|0.25|0.25
Ronny Mauricio|NYM|4|0|0|1|0|2|0|1|4|0|0|0|0|0.25|0.25|0.25
Parker Meadows|DET|39|0|3|2|3|10|2|9|36|0|1|1|1|0.25|0.308|0.333
Geraldo Perdomo|ARI|98|1|11|6|6|12|14|20|80|2|0|3|3|0.25|0.354|0.4
Brett Sullivan|COL|37|0|0|4|0|8|1|9|36|0|0|3|0|0.25|0.27|0.333
Andrew Vaughn|MIL|4|0|0|1|0|0|0|1|4|0|0|0|0|0.25|0.25|0.25
Jacob Young|WSH|85|2|10|12|1|13|3|20|80|0|1|4|0|0.25|0.286|0.375
Shohei Ohtani|LAD|115|5|15|11|1|28|16|23|93|2|3|4|0|0.247|0.368|0.452
Kyle Tucker|LAD|106|3|17|13|3|24|12|23|93|1|0|3|0|0.247|0.33|0.376
Teoscar Hernández|LAD|88|4|13|13|1|27|6|20|81|1|0|4|0|0.247|0.295|0.444
Connor Norby|MIA|85|2|6|7|0|24|7|18|73|1|4|5|0|0.247|0.341|0.397
Willi Castro|COL|76|1|10|9|2|27|6|17|69|0|1|4|0|0.246|0.316|0.348
David Hamilton|MIL|72|0|11|4|5|11|11|14|57|0|1|0|0|0.246|0.377|0.246
Julio Rodríguez|SEA|112|1|10|8|2|27|12|24|98|0|2|3|0|0.245|0.339|0.306
Luis García Jr.|WSH|86|1|11|15|2|13|4|20|82|0|0|4|1|0.244|0.279|0.354
Jake Meyers|HOU|43|1|5|4|1|8|4|9|37|1|1|2|0|0.243|0.326|0.378
Kyle Higashioka|TEX|38|1|5|3|0|10|5|8|33|0|0|1|0|0.242|0.342|0.364
Michael Massey|KCR|35|1|3|4|0|9|1|8|33|1|0|4|0|0.242|0.257|0.455
Pete Crow-Armstrong|CHC|103|1|14|7|5|29|5|23|95|0|2|3|1|0.242|0.294|0.326
Ketel Marte|ARI|103|4|16|9|0|19|8|23|95|0|0|3|0|0.242|0.301|0.4
Ben Williamson|TBR|70|0|12|8|2|15|7|15|62|0|0|4|0|0.242|0.319|0.306
David Fry|CLE|35|0|5|0|0|12|6|7|29|0|0|1|0|0.241|0.371|0.276
Aaron Judge|NYY|104|9|21|16|5|29|15|21|87|0|1|3|0|0.241|0.359|0.586
Tyler O'Neill|BAL|34|1|6|4|0|6|3|7|29|0|2|0|0|0.241|0.353|0.345
Nick Kurtz|ATH|110|4|14|11|3|35|27|20|83|0|0|3|0|0.241|0.427|0.422
Jerar Encarnacion|SFG|25|0|1|0|0|5|0|6|25|0|0|1|0|0.24|0.24|0.28
Jahmai Jones|DET|25|2|3|4|0|6|0|6|25|0|0|1|0|0.24|0.24|0.52
Carlos Narváez|BOS|53|0|4|1|1|14|2|12|50|0|0|2|0|0.24|0.269|0.28
Luis Torrens|NYM|25|0|2|4|0|5|0|6|25|0|0|2|0|0.24|0.24|0.32
Brady House|WSH|98|2|11|8|1|31|6|22|92|0|0|4|0|0.239|0.286|0.348
Nolan Schanuel|LAA|104|3|8|18|0|16|10|22|92|2|0|4|0|0.239|0.308|0.38
Cam Smith|HOU|103|3|15|11|4|24|11|21|88|2|1|5|0|0.239|0.324|0.398
Mike Trout|LAA|115|8|25|17|4|23|25|21|88|0|2|4|0|0.239|0.417|0.557
Zach Neto|LAA|121|5|19|11|4|34|19|24|101|0|1|6|0|0.238|0.364|0.446
José Caballero|NYY|85|1|9|8|9|22|4|19|80|0|1|4|0|0.238|0.282|0.325
Wyatt Langford|TEX|84|1|9|4|3|19|4|19|80|0|0|3|2|0.238|0.274|0.363
Mark Vientos|NYM|64|2|6|7|0|14|4|14|59|1|0|2|0|0.237|0.281|0.373
Jake Bauers|MIL|83|5|13|15|3|16|7|18|76|0|0|2|0|0.237|0.301|0.461
Gleyber Torres|DET|113|1|14|7|0|19|18|22|93|1|1|2|0|0.237|0.363|0.29
Nathan Church|STL|61|2|9|8|3|17|4|13|55|1|1|1|0|0.236|0.295|0.364
Gary Sánchez|MIL|69|5|10|13|0|16|13|13|55|0|1|2|1|0.236|0.391|0.582
Nathan Lukes|TOR|55|0|5|8|0|7|1|12|51|1|2|3|0|0.235|0.273|0.294
Lenyn Sosa|TOR|53|0|3|7|0|9|0|12|51|1|0|5|0|0.235|0.231|0.333
Chase DeLauter|CLE|94|5|12|15|0|11|12|19|81|1|0|5|1|0.235|0.33|0.506
Jake McCarthy|COL|55|0|4|4|5|10|4|11|47|0|1|4|1|0.234|0.308|0.362
José Ramírez|CLE|113|6|18|12|11|16|19|22|94|0|0|5|0|0.234|0.363|0.479
Ty France|SDP|32|1|4|1|0|4|1|7|30|0|1|1|0|0.233|0.281|0.367
Jonah Heim|ATL|34|0|2|2|0|5|4|7|30|0|0|3|0|0.233|0.324|0.333
Nathaniel Lowe|CIN|34|0|1|5|0|7|4|7|30|0|0|3|0|0.233|0.324|0.333
Andrew McCutchen|TEX|33|1|4|5|0|14|2|7|30|1|0|2|0|0.233|0.273|0.4
Cole Young|SEA|102|2|15|11|1|23|11|21|90|0|1|2|1|0.233|0.324|0.344
Matt Vierling|DET|47|1|5|6|1|9|3|10|43|1|0|4|0|0.233|0.277|0.395
Ronald Acuña Jr.|ATL|118|1|11|6|4|22|14|23|99|2|3|5|1|0.232|0.339|0.333
Rafael Devers|SFG|104|2|7|9|0|32|5|23|99|0|0|3|0|0.232|0.269|0.323
Byron Buxton|MIN|100|5|19|7|0|28|7|21|91|1|1|3|1|0.231|0.29|0.451
Joc Pederson|TEX|65|1|9|3|0|17|11|12|52|1|1|1|0|0.231|0.369|0.308
Luis Robert Jr.|NYM|90|2|9|7|2|17|12|18|78|0|0|2|0|0.231|0.333|0.333
Victor Robles|SEA|13|0|0|1|1|3|0|3|13|0|0|1|0|0.231|0.231|0.308
Eugenio Suárez|CIN|100|3|10|11|0|30|9|21|91|0|0|3|0|0.231|0.3|0.363
George Valera|CLE|27|0|0|4|0|3|1|6|26|0|0|2|0|0.231|0.259|0.308
Willy Adames|SFG|106|3|12|6|0|32|5|23|100|0|1|10|0|0.23|0.274|0.42
Iván Herrera|STL|111|3|10|12|0|16|18|20|87|1|5|4|0|0.23|0.387|0.379
Nick Yorke|PIT|71|1|5|4|0|12|7|14|61|1|2|3|0|0.23|0.324|0.328
Jake Fraley|TBR|53|1|3|2|2|13|5|11|48|0|0|4|0|0.229|0.302|0.375
Miguel Amaya|CHC|51|1|8|4|0|13|6|10|44|0|1|1|0|0.227|0.333|0.318
Darell Hernaiz|ATH|25|1|2|1|2|5|3|5|22|0|0|0|0|0.227|0.32|0.364
Colson Montgomery|CHW|101|7|10|18|1|32|9|20|88|0|4|5|0|0.227|0.327|0.523
Agustín Ramírez|MIA|99|2|12|12|1|23|9|20|88|1|1|4|1|0.227|0.303|0.364
Steven Kwan|CLE|112|1|10|8|2|12|12|22|97|1|1|3|0|0.227|0.315|0.289
Isaac Paredes|HOU|87|2|9|10|0|17|8|17|75|0|4|4|0|0.227|0.333|0.36
Marcus Semien|NYM|94|1|4|8|2|19|7|19|84|1|1|4|0|0.226|0.29|0.31
Dylan Beavers|BAL|70|1|9|7|1|16|7|14|62|1|0|3|0|0.226|0.3|0.323
Francisco Lindor|NYM|105|2|14|5|2|19|11|21|93|0|1|2|2|0.226|0.314|0.355
Trea Turner|PHI|111|2|14|7|3|21|9|23|102|0|0|5|0|0.225|0.288|0.333
Owen Caissie|MIA|78|2|7|14|1|34|4|16|71|2|1|5|0|0.225|0.269|0.38
Roman Anthony|BOS|97|1|11|4|2|25|16|18|80|0|1|3|1|0.225|0.361|0.325
Jonathan Aranda|TBR|108|4|13|19|0|25|19|19|85|3|1|4|0|0.224|0.361|0.412
Santiago Espinal|LAD|20|0|2|2|0|2|0|4|18|0|0|1|0|0.222|0.222|0.278
Hunter Feduccia|TBR|32|0|3|4|0|12|5|6|27|0|0|0|0|0.222|0.344|0.222
Sam Huff|BAL|9|0|1|1|0|5|0|2|9|0|0|1|0|0.222|0.222|0.333
Danny Jansen|TEX|58|1|3|6|0|19|4|12|54|0|0|4|0|0.222|0.276|0.352
Austin Riley|ATL|112|3|15|16|2|24|12|22|99|0|1|5|0|0.222|0.313|0.364
Adolis García|PHI|98|3|7|6|1|27|9|19|86|1|2|4|0|0.221|0.306|0.372
Spencer Steer|CIN|86|4|10|6|0|25|6|17|77|1|2|5|0|0.221|0.291|0.442
Bo Bichette|NYM|106|1|9|9|0|24|5|22|100|1|0|4|0|0.22|0.255|0.29
Gavin Sheets|SDP|77|2|8|6|1|18|4|16|73|0|0|9|0|0.219|0.26|0.425
Austin Hays|CHW|33|1|2|6|0|12|1|7|32|0|0|1|0|0.219|0.242|0.344
Tyler Heineman|TOR|37|0|4|2|0|8|1|7|32|0|1|0|0|0.219|0.265|0.219
Tyler Soderstrom|ATH|109|2|12|17|1|22|12|21|96|1|0|9|1|0.219|0.303|0.396
JJ Wetherholt|STL|110|3|19|11|4|23|15|19|87|2|6|2|0|0.218|0.364|0.345
Jorge Barrosa|ARI|61|1|7|6|0|19|3|12|55|0|1|7|1|0.218|0.271|0.436
Drew Gilbert|SFG|26|1|2|2|0|6|2|5|23|0|0|0|0|0.217|0.28|0.348
Starling Marte|KCR|24|0|1|0|0|7|0|5|23|0|1|2|0|0.217|0.25|0.304
Jared Triolo|PIT|26|0|2|1|0|5|2|5|23|0|1|1|0|0.217|0.308|0.261
Alex Freeland|LAD|68|1|6|5|0|22|6|13|60|1|0|2|0|0.217|0.284|0.3
James McCann|ARI|39|0|3|4|0|13|1|8|37|0|0|3|0|0.216|0.237|0.297
Jorge Soler|LAA|95|5|13|19|0|32|11|17|79|2|3|3|0|0.215|0.326|0.443
